id,Student Name,Location,Details of sample,Label,Results,Moraxellaceae,Flavobacteriaceae,Pseudomonadaceae,Enterobacteriaceae,Actinomycetales,Staphylococcaceae,Bradyrhizobiaceae,Streptococcaceae,Streptophyta,Bacteroidaceae,Verrucomicrobiaceae,Rikenellaceae,Porphyromonadaceae,Rhizobials,Comamonadaceae,Clostridiales Incertae Sedis XI,Other
0,Alyssa Joines,16th Street 6th Floor by Elevators,Push Button - Metal - Water Dispenser (Cold),AJ1,https://16s.geneious.com/16s/results/11d0fdf7-b08c-4c28-8231-fbb21b8e83b0.html,38,24,0,0,9,0,0,0,0,0,0,0,0,0,0,0,29
1,Alyssa Joines,11th Street Lang Cafe Lower Level,Push back lever - Water Dispenser (Cold),AJ2,https://16s.geneious.com/16s/results/12a0d49b-bac6-4350-9709-74d32dcaddc4.html,4,0,42,12,7,0,5,0,0,0,0,0,0,0,0,0,30
2,Kaitlyn Bushfield,New School Cafeteria,Pre-Packaged Sushi,KB13,https://16s.geneious.com/16s/results/b026e50e-3283-4fe3-b6e8-2cad23d6ae7f.html,0,0,9,0,8,0,0,0,54,0,0,0,0,0,0,0,29
3,Kaitlyn Bushfield,new School Cafeteria,SIlverwear Container UC,KB14,https://16s.geneious.com/16s/results/da47197c-0f10-4749-a4c6-c96a2a5111e3.html,0,0,8,0,8,0,0,0,60,0,0,0,0,0,0,0,24
4,Molly Metz,Stuyvesant Park Residence Hall ,Lobby Up Button ,SPR1,https://16s.geneious.com/16s/results/74a266bb-2e4e-4de7-896b-a7a9e86ace8a.html,0,0,36,10,15,0,0,0,0,0,0,0,0,0,0,0,39
5,Molly Metz,Stuyvesant Park Residence Hall ,Lobby Floor Inside Button ,SPR6,https://16s.geneious.com/16s/results/7e8fedd4-b395-4435-8c1d-4eeb78c28d27.html,0,0,21,0,6,0,0,0,0,11,4,6,7,0,0,0,45
6,Sarah Murphy,5th Floor Arnold Hall,"Room 521, C4 Key",SM8,https://16s.geneious.com/16s/results/271bfa10-858c-429a-b202-3fd6709ae5b3.html,12,0,35,9,9,5,0,0,0,0,0,0,0,0,0,0,30
7,Sarah Murphy,7th Floor Arnold Hall,"Room ___, C4 Key",SM7,https://16s.geneious.com/16s/results/f323b597-8453-49bd-b648-177847ce3c97.html,0,0,40,8,15,4,0,5,0,0,0,0,0,0,0,0,28
8,Claire + Emma,Lang Reading Room,Outside door handle,EL2,https://16s.geneious.com/16s/results/b08eaf73-2373-4419-814a-5017746dc6e4.html,0,0,20,20,18,5,0,5,0,0,0,0,0,0,0,0,32
9,Claire + Emma,Lang Reading Room,Inside door handle,EL1,https://16s.geneious.com/16s/results/2b34f65d-43d3-44e2-b006-7d7014d743ae.html,0,0,26,5,30,8,0,4,0,0,0,0,0,0,0,0,27
10,Claire + Emma,Lang Classroom 2nd floor,outside door handle,CR1,https://16s.geneious.com/16s/results/0e790b69-2571-4e82-b6a2-35cf31632987.html,4,0,35,6,18,8,0,0,0,0,0,0,0,0,0,0,29
11,Claire + Emma,Lang Classroom 2nd floor,Inside door handle,CR2,https://16s.geneious.com/16s/results/4de7acef-c24b-4cb3-a24d-b61f3124c1e6.html,5,0,27,5,18,6,0,4,5,0,0,0,0,4,0,0,26
12,Simon Chen,Stuy Park Gym,"Yoga Mat - ""Aeromat """,Sc21,https://16s.geneious.com/16s/results/9906c6c6-77ed-4b87-9723-228027681b4a.html,4,0,44,7,7,0,0,0,0,0,0,0,0,0,7,0,31
13,Simon Chen,Stuy Park Gym,weight handle 10 lbs ,SC22,https://16s.geneious.com/16s/results/35be7ec0-0c5b-477c-9326-54959197b7d3.html,0,0,50,8,17,4,0,0,0,0,0,0,0,0,0,0,21
14,Rylin ,63 5th avenue 2,wet Surface:silver,RI2,https://16s.geneious.com/16s/results/66511d43-3892-4bed-9df4-c9d58cd6fb90.html,0,0,17,5,22,19,0,6,5,0,0,0,0,0,0,0,26
15,Rylin ,63 5th avenue 4,dry Surface:silver,RI4,https://16s.geneious.com/16s/results/e89b0f88-4c3c-425e-a0ba-deb6c5cc1dc6.html,4,0,15,4,23,25,0,0,0,0,0,0,0,0,0,4,25
16,x,x,x,x,x,Moraxellaceae,Flavobacteriaceae,Pseudomonadaceae,Enterobacteriaceae,Actinomycetales,Staphylococcaceae,Bradyrhizobiaceae,Streptococcaceae,Streptophyta,Bacteroidaceae,Verrucomicrobiaceae,Rikenellaceae,Porphyromonadaceae,Rhizobials,Comamonadaceae,Clostridiales Incertae Sedis XI,Other